age,education_level,gender,stem_interest_score,creativity_score,social_skills_score,analytical_skills_score,problem_solving_score,technical_aptitude_score,communication_score,leadership_potential_score,career_category,specific_career,annual_salary_expectation,work_environment_preference,job_growth_interest,work_life_balance_score,global_mobility_score
40,Bachelor's,Prefer Not to Say,47,63,80,45,45,82,65,41,Science,Physicist,71028,Remote,75,71,41
20,Master's,Male,16,39,30,56,32,22,79,45,Engineering,Robotics Engineer,68669,On-site,72,61,22
23,Professional Degree,Male,58,38,44,38,87,50,29,66,Engineering,Electrical Engineer,26210,Flexible,43,36,54
37,Bachelor's,Male,65,53,48,44,20,36,41,71,Education,Museum Educator,94723,Hybrid,62,67,15
28,Professional Degree,Female,62,71,69,33,44,57,70,40,Creative,Film Director,49114,Travel-based,86,56,28
49,Master's,Female,49,70,57,37,57,81,49,81,Arts and Performance,Theatre Director,87611,Travel-based,64,8,66
36,Bachelor's,Female,10,46,57,80,40,34,40,68,Media and Communication,Communications Consultant,100398,Hybrid,72,67,39
45,Bachelor's,Male,36,43,42,21,56,55,50,45,Arts and Performance,Theatre Director,74719,Remote,54,32,42
33,PhD,Male,58,88,53,55,49,12,49,51,Media and Communication,Public Relations Specialist,94046,Flexible,69,100,46
23,Bachelor's,Female,73,65,66,32,78,22,62,94,Business,Digital Marketer,87990,Travel-based,60,40,39
20,Professional Degree,Male,51,29,59,32,81,34,44,66,Creative,Multimedia Artist,124214,Remote,38,35,55
37,Associate Degree,Female,55,66,25,24,60,56,55,57,Media and Communication,Communications Consultant,93792,Travel-based,56,46,55
50,Bachelor's,Male,59,26,63,31,66,73,34,69,Culinary and Hospitality,Nutritional Consultant,141904,On-site,65,68,66
27,Bachelor's,Male,32,34,48,57,56,67,50,79,Engineering,Civil Engineer,103770,Travel-based,53,55,100
24,PhD,Female,60,46,64,59,49,33,20,41,Media and Communication,Social Media Manager,47628,Remote,73,77,54
39,Bachelor's,Female,32,53,51,27,57,61,72,71,Culinary and Hospitality,Nutritional Consultant,100451,On-site,80,32,31
40,PhD,Female,100,61,73,69,63,44,65,35,Finance and Economics,Securities Trader,87456,Remote,100,55,40
20,Bachelor's,Male,64,18,41,72,51,28,36,64,Science,Physicist,86367,Hybrid,57,45,54
50,Bachelor's,Female,63,9,54,37,67,34,48,60,Media and Communication,Podcast Producer,74965,Hybrid,61,77,26
28,Master's,Female,85,58,25,68,92,71,20,40,Finance and Economics,Economist,98315,Flexible,85,85,36
26,PhD,Prefer Not to Say,49,0,30,45,25,83,21,41,Engineering,Mechanical Engineer,41924,Flexible,93,63,79
35,Associate Degree,Female,30,59,54,38,51,42,52,63,Healthcare,Veterinarian,148991,Remote,31,92,25
33,PhD,Male,62,56,38,46,40,38,67,57,Arts and Performance,Arts Administrator,94219,Remote,86,46,68
41,High School,Female,33,39,65,62,50,52,76,38,Arts and Performance,Professional Musician,78470,Remote,92,71,46
43,Master's,Female,66,76,50,64,44,56,47,52,Media and Communication,Broadcast Journalist,147772,Travel-based,50,72,34
23,Bachelor's,Prefer Not to Say,73,66,62,63,50,32,52,36,Finance and Economics,Fundraising Manager,60235,Hybrid,64,80,47
39,Bachelor's,Prefer Not to Say,39,34,55,55,40,41,55,21,Science,Geologist,78597,On-site,76,32,36
50,High School,Male,67,47,50,30,50,44,56,33,Culinary and Hospitality,Restaurant Manager,81737,Remote,78,70,81
42,Master's,Female,42,54,50,52,35,50,60,79,Business,Management Consultant,61980,Hybrid,87,79,93
37,High School,Male,94,34,33,38,8,39,35,53,Science,Astronomer,113513,Remote,58,67,88
26,Bachelor's,Female,60,24,87,74,41,16,77,48,Science,Geologist,67019,Hybrid,70,85,18
35,Bachelor's,Male,41,62,29,47,52,60,64,28,Science,Environmental Scientist,94969,Hybrid,55,29,76
50,Bachelor's,Male,52,74,51,91,85,45,69,63,Creative,Film Director,105582,Travel-based,91,87,31
20,Master's,Male,26,9,45,64,80,51,83,22,Culinary and Hospitality,Event Planner,96522,Hybrid,69,26,49
20,Bachelor's,Male,48,24,63,57,31,40,29,49,Science,Geologist,100121,Flexible,59,79,30
27,PhD,Male,48,29,39,26,89,51,36,54,Finance and Economics,Corporate Treasurer,103425,Flexible,85,58,46
30,Bachelor's,Female,38,44,4,20,77,83,45,62,Media and Communication,Broadcast Journalist,118587,On-site,67,66,100
25,High School,Non-Binary,18,54,35,22,37,28,84,68,Creative,Film Director,87321,Remote,53,60,80
50,Master's,Female,61,29,46,32,22,69,88,22,Healthcare,Medical Researcher,70386,Hybrid,58,71,37
26,Bachelor's,Female,51,33,55,49,45,32,38,65,Social Sciences,Sociologist,87980,Remote,85,70,30
20,Associate Degree,Female,61,37,61,35,14,17,51,55,Engineering,Aerospace Engineer,35154,On-site,69,42,63
23,Professional Degree,Prefer Not to Say,37,51,33,42,70,38,67,27,Healthcare,Medical Researcher,10851,Remote,54,71,79
41,Bachelor's,Prefer Not to Say,46,57,38,52,47,73,55,57,Business,Investment Banker,72023,Remote,78,52,40
31,PhD,Prefer Not to Say,56,92,67,43,74,42,9,30,Engineering,Robotics Engineer,85553,Remote,100,23,43
38,Bachelor's,Male,46,67,6,55,65,20,73,57,Business,Digital Marketer,153121,On-site,74,52,63
37,Bachelor's,Female,41,33,67,33,51,40,60,57,Healthcare,Nurse Practitioner,76904,Remote,50,81,40
31,Bachelor's,Female,58,65,32,67,77,58,88,35,Technology,Cloud Solutions Architect,129881,On-site,83,35,14
34,Bachelor's,Female,56,27,99,53,52,65,60,54,Finance and Economics,Cryptocurrency Analyst,141461,Hybrid,97,44,59
50,Professional Degree,Male,40,30,47,51,72,16,81,47,Creative,Graphic Designer,22854,Hybrid,86,51,30
36,High School,Female,24,24,43,83,45,20,45,45,Social Sciences,Sociologist,78072,On-site,84,6,49
50,Bachelor's,Non-Binary,73,45,28,100,51,50,50,54,Creative,Film Director,68594,Flexible,69,57,39
30,PhD,Male,36,52,45,80,0,72,75,9,Media and Communication,Public Relations Specialist,42775,Remote,54,53,43
24,PhD,Male,85,69,75,64,27,40,60,26,Culinary and Hospitality,Restaurant Manager,73755,On-site,84,74,45
39,Master's,Female,43,73,28,62,62,44,57,25,Media and Communication,Podcast Producer,69318,Flexible,91,78,46
28,Bachelor's,Prefer Not to Say,22,19,62,24,85,8,84,54,Media and Communication,Podcast Producer,96974,Hybrid,69,58,39
46,Bachelor's,Female,52,53,43,49,56,16,23,65,Technology,DevOps Engineer,85553,On-site,77,63,46
30,Professional Degree,Male,34,54,30,58,16,71,59,55,Culinary and Hospitality,Hospitality Manager,115431,Hybrid,33,80,83
22,High School,Male,38,51,60,35,54,35,38,22,Finance and Economics,Fundraising Manager,55724,Flexible,91,42,23
26,Bachelor's,Female,100,60,54,33,64,38,52,100,Education,Special Education Specialist,63905,Hybrid,69,58,73
